winpercent, oppwinpercent, weather, temperature, numinjured, oppnuminjured, startingpitcher, oppstartingpitcher, dayssincegame, oppdayssincegame, homeaway, rundifferential, opprundifferential,winner
?,0.835041,0,61.9286,0,0,1,4,4,3,0,46,47,1
0.631525,0.695949,0,57.7814,2,2,1,4,3,3,1,87,38,1
0.463094,0.758486,-1,?,2,2,1,?,3,2,0,39,55,1
0.719957,0.328032,-1,55.9828,1,2,4,2,1,2,1,64,48,0
0.33546,0.37236,0,78.1332,3,3,3,3,3,2,1,48,33,1
0.243791,0.460969,0,63.7922,2,1,1,5,3,3,1,49,10,1
0.475529,0.386412,0,67.4833,2,2,4,5,4,2,0,70,52,1
0.768855,0.632248,1,79.2584,1,1,5,5,1,?,0,43,41,1
-0.00828301,0.566473,0,69.8513,3,2,5,?,2,3,0,49,38,1
0.603071,0.817083,0,50.2352,1,1,3,3,1,3,1,32,40,1
?,0.314189,0,70.8358,2,3,1,2,1,2,0,47,59,0
0.577316,0.759829,?,55.1651,2,2,2,5,4,5,1,56,64,1
0.535723,0.278422,-1,60.6113,3,2,4,4,2,4,0,?,40,1
0.611038,0.516471,-1,67.6067,1,2,3,5,3,1,0,23,52,0
0.613108,0.534858,1,69.4901,2,?,2,4,5,2,1,39,73,1
0.673096,?,1,80.9026,2,4,?,5,4,4,1,71,47,0
0.705248,0.791832,0,65.0464,1,2,5,3,2,3,0,55,42,0
0.642271,?,-1,56.7911,1,0,?,2,3,?,0,43,30,0
0.519099,0.3762,1,60.2738,3,1,3,5,2,2,1,31,31,1
0.612965,?,0,79.3367,4,3,1,3,3,3,0,73,26,1
0.410346,0.231389,-1,66.3676,0,0,1,1,3,4,0,?,4,1
0.347834,0.110577,1,56.9719,0,3,5,2,1,4,1,50,60,0
0.531041,0.615372,0,64.8148,2,-1,5,1,2,1,1,55,76,1
0.450109,0.757229,0,71.9582,2,1,4,3,3,2,1,63,51,1
0.713909,0.386863,1,66.9045,1,3,2,4,3,2,0,?,24,0
0.360854,0.718196,1,59.1005,1,2,3,2,3,3,1,40,52,0
0.571639,0.411945,0,64.1784,1,2,1,3,3,3,1,54,66,0
0.259864,0.398497,0,67.7878,1,1,4,3,2,2,1,49,7,1
0.435035,0.348013,1,77.7561,2,2,1,4,2,2,0,55,38,1
0.803598,0.454838,0,58.2811,2,2,4,?,1,2,1,66,65,1
0.238927,0.621403,1,68.7146,2,1,1,2,1,1,0,25,10,1
0.494078,0.634433,1,66.723,-1,3,3,2,1,3,1,58,46,0
0.590847,0.745682,1,68.8006,2,1,5,2,2,3,0,66,?,1
0.505601,0.512911,?,67.9934,2,0,?,1,?,3,1,67,27,1
